"","store_number","category_name","Date","forecast_volume","fc_sales"
"148",3773,"Canadian Whiskies",2022-09-18,282.585940518665,2712.93902447184
"149",3773,"Canadian Whiskies",2022-09-25,279.746692659402,2444.58552953945
"150",3773,"Canadian Whiskies",2022-10-02,280.636077687042,2247.04929539232
"151",3773,"Canadian Whiskies",2022-10-09,282.069789271987,2474.57461645039
"152",3773,"Canadian Whiskies",2022-10-16,285.332260463389,2548.2154907198
"153",3773,"Canadian Whiskies",2022-10-23,286.288651567546,2462.64988538359
"154",3773,"Canadian Whiskies",2022-10-30,285.175667638267,2396.7278825987
"155",3773,"Canadian Whiskies",2022-11-06,286.857878312862,2531.73387159394
"156",3773,"Canadian Whiskies",2022-11-13,283.832757722553,2748.8843668287
"157",3773,"Canadian Whiskies",2022-11-20,289.010613782192,2492.88628101016
"158",3773,"Canadian Whiskies",2022-11-27,288.811569677027,2341.69446147669
"159",3773,"Canadian Whiskies",2022-12-04,286.675657769243,2704.05193150209
"160",3773,"Canadian Whiskies",2022-12-11,288.862048584278,2582.72582106881
"161",3773,"Canadian Whiskies",2022-12-18,290.237046838208,2624.94114260289
"162",3773,"Canadian Whiskies",2022-12-25,291.006663073726,2490.42448884286
"163",2633,"Straight Bourbon Whiskies",2022-08-28,512.894319209337,5580.49355713035
"164",2633,"Straight Bourbon Whiskies",2022-09-04,554.895787886435,5580.49355713035
"165",2633,"Straight Bourbon Whiskies",2022-09-11,554.895787886435,5580.49355713035
"166",2633,"Straight Bourbon Whiskies",2022-09-18,554.895787886435,5580.49355713035
"167",2633,"Straight Bourbon Whiskies",2022-09-25,554.895787886435,5580.49355713035
"168",2633,"Straight Bourbon Whiskies",2022-10-02,554.895787886435,5580.49355713035
"169",2633,"Straight Bourbon Whiskies",2022-10-09,554.895787886435,5580.49355713035
"170",2633,"Straight Bourbon Whiskies",2022-10-16,554.895787886435,5580.49355713035
"171",2633,"Straight Bourbon Whiskies",2022-10-23,554.895787886435,5580.49355713035
"172",2633,"Straight Bourbon Whiskies",2022-10-30,554.895787886435,5580.49355713035
"173",2633,"Straight Bourbon Whiskies",2022-11-06,554.895787886435,5580.49355713035
"174",2633,"Straight Bourbon Whiskies",2022-11-13,554.895787886435,5580.49355713035
"175",2633,"Straight Bourbon Whiskies",2022-11-20,554.895787886435,5580.49355713035
"176",2633,"Straight Bourbon Whiskies",2022-11-27,554.895787886435,5580.49355713035
"177",2633,"Straight Bourbon Whiskies",2022-12-04,554.895787886435,5580.49355713035
"178",2633,"Straight Bourbon Whiskies",2022-12-11,554.895787886435,5580.49355713035
"179",2633,"Straight Bourbon Whiskies",2022-12-18,554.895787886435,5580.49355713035
"180",2633,"Straight Bourbon Whiskies",2022-12-25,554.895787886435,5580.49355713035
"181",2603,"Canadian Whiskies",2022-08-28,136.599912789924,1949.67449398415
"182",2603,"Canadian Whiskies",2022-09-04,132.11111159667,1735.57927894084
"183",2603,"Canadian Whiskies",2022-09-11,147.430826217188,1828.64607834056
"184",2603,"Canadian Whiskies",2022-09-18,133.71403766191,1691.1373317728
"185",2603,"Canadian Whiskies",2022-09-25,133.509675013876,1817.21004410018
"186",2603,"Canadian Whiskies",2022-10-02,137.011207116895,1749.46749508466
"187",2603,"Canadian Whiskies",2022-10-09,132.498050715796,1738.01928360122
"188",2603,"Canadian Whiskies",2022-10-16,137.268025858641,1817.73231434352
"189",2603,"Canadian Whiskies",2022-10-23,137.956789330812,1705.67885226738
"190",2603,"Canadian Whiskies",2022-10-30,127.012203382266,1804.86076289525
"191",2603,"Canadian Whiskies",2022-11-06,138.970850053637,1755.12018076071
"192",2603,"Canadian Whiskies",2022-11-13,132.223163105658,1740.65184810877
"193",2603,"Canadian Whiskies",2022-11-20,137.115516286961,1808.50212368487
"194",2603,"Canadian Whiskies",2022-11-27,133.857455686351,1717.45550253159
"195",2603,"Canadian Whiskies",2022-12-04,129.211862508432,1795.21851761769
"196",2603,"Canadian Whiskies",2022-12-11,129.715041226154,1759.14617752226
"197",2603,"Canadian Whiskies",2022-12-18,142.414843718888,1743.30321162967
"198",2603,"Canadian Whiskies",2022-12-25,136.570121389655,1800.734530364
"199",2633,"American Vodkas",2022-08-28,2141.55203953257,4619.14187192454
"200",2633,"American Vodkas",2022-09-04,2141.55203953257,4971.20658712429
"201",2633,"American Vodkas",2022-09-11,2141.55203953257,5013.92893164659
